pelicula;date;duracio;director;genre;autor;medi;tendencia;actors
Caballeros, princesas y otras bestias;2011;102 min.;David Gordon Green;Aventuras;Andrea G. Bermejo; Cinemanía ;negativa;Danny McBride,James Franco,Rasmus Hardiker,Natalie Portman,Toby Jones,Justin Theroux,Zooey Deschanel,Charles Dance,Damian Lewis,Simon Farnaby
Caballeros, princesas y otras bestias;2011;102 min.;David Gordon Green;Aventuras;Jordi Costa; Fotogramas ;neutral;Danny McBride,James Franco,Rasmus Hardiker,Natalie Portman,Toby Jones,Justin Theroux,Zooey Deschanel,Charles Dance,Damian Lewis,Simon Farnaby
Caballeros, princesas y otras bestias;2011;102 min.;David Gordon Green;Aventuras;Claudia Puig; USA Today ;negativa;Danny McBride,James Franco,Rasmus Hardiker,Natalie Portman,Toby Jones,Justin Theroux,Zooey Deschanel,Charles Dance,Damian Lewis,Simon Farnaby
Caballo dinero;2014;104 min.;Pedro Costa;Drama;Jordi Costa; Diario El País ;neutral;Tito Furtado,Vitalina Varela,Ventura
Caballo dinero;2014;104 min.;Pedro Costa;Drama;Philipp Engel; Fotogramas ;positiva;Tito Furtado,Vitalina Varela,Ventura
Caballo dinero;2014;104 min.;Pedro Costa;Drama;Scott Foundas; Variety ;positiva;Tito Furtado,Vitalina Varela,Ventura
Caballo dinero;2014;104 min.;Pedro Costa;Drama;Neil Young; The Hollywood Reporter ;neutral;Tito Furtado,Vitalina Varela,Ventura
Caballo dinero;2014;104 min.;Pedro Costa;Drama;Ben Kenigsberg; The New York Times ;positiva;Tito Furtado,Vitalina Varela,Ventura
Caballo dinero;2014;104 min.;Pedro Costa;Drama;Michael Phillips; Chicago Tribune ;positiva;Tito Furtado,Vitalina Varela,Ventura
Caballo dinero;2014;104 min.;Pedro Costa;Drama;Geoffrey Macnab; The Independent ;positiva;Tito Furtado,Vitalina Varela,Ventura
Caballo dinero;2014;104 min.;Pedro Costa;Drama;Horacio Bernades; Diario Página 12 ;positiva;Tito Furtado,Vitalina Varela,Ventura
Caballo ganador (Dark Horse) ;2015;85 min.;Louise Osmond;Documental;Javier Ocaña; Diario El País ;positiva;Documentary
Caballo ganador (Dark Horse) ;2015;85 min.;Louise Osmond;Documental;Yago García; Cinemanía ;neutral;Documentary
Caballo ganador (Dark Horse) ;2015;85 min.;Louise Osmond;Documental;Screendaily ;unknow;positiva;Documentary
Caballos salvajes;1995;92 min.;Marcelo Piñeyro;Drama;María Casanova; Cinemanía ;positiva;Héctor Alterio,Leonardo Sbaraglia,Federico Luppi,Cecilia Dopazo,Ferrán Miras,Daniel Kuzniecka,Cipe Lincovsky,Antonio Grimau,Alex Benn
Cabaret;1972;123 min.;Bob Fosse;Drama;Daniel Andreas; FILMAFFINITY ;positiva;Liza Minnelli,Michael York,Helmut Griem,Joel Grey,Fritz Wepper,Helen Vita,Marisa Berenson,Elisabeth Neumann-Viertel,Sigrid von Richthofen,Gerd Vespermann,Ralf Wolter,Georg Hartmann,Ricky Renée,Estrongo Nachama
Cabaret;1972;123 min.;Bob Fosse;Drama;FILMAFFINITY ;unknow;unknow;Liza Minnelli,Michael York,Helmut Griem,Joel Grey,Fritz Wepper,Helen Vita,Marisa Berenson,Elisabeth Neumann-Viertel,Sigrid von Richthofen,Gerd Vespermann,Ralf Wolter,Georg Hartmann,Ricky Renée,Estrongo Nachama
Cabaret;1972;123 min.;Bob Fosse;Drama;Luis Martínez; Diario El País ;positiva;Liza Minnelli,Michael York,Helmut Griem,Joel Grey,Fritz Wepper,Helen Vita,Marisa Berenson,Elisabeth Neumann-Viertel,Sigrid von Richthofen,Gerd Vespermann,Ralf Wolter,Georg Hartmann,Ricky Renée,Estrongo Nachama
Cabaret;1972;123 min.;Bob Fosse;Drama;Roger Ebert; rogerebert.com ;positiva;Liza Minnelli,Michael York,Helmut Griem,Joel Grey,Fritz Wepper,Helen Vita,Marisa Berenson,Elisabeth Neumann-Viertel,Sigrid von Richthofen,Gerd Vespermann,Ralf Wolter,Georg Hartmann,Ricky Renée,Estrongo Nachama
Cabaret;1972;123 min.;Bob Fosse;Drama;Roger Greenspun; The New York Times ;positiva;Liza Minnelli,Michael York,Helmut Griem,Joel Grey,Fritz Wepper,Helen Vita,Marisa Berenson,Elisabeth Neumann-Viertel,Sigrid von Richthofen,Gerd Vespermann,Ralf Wolter,Georg Hartmann,Ricky Renée,Estrongo Nachama
Cabaret;1972;123 min.;Bob Fosse;Drama;Jonathan Rosenbaum; Chicago Reader ;positiva;Liza Minnelli,Michael York,Helmut Griem,Joel Grey,Fritz Wepper,Helen Vita,Marisa Berenson,Elisabeth Neumann-Viertel,Sigrid von Richthofen,Gerd Vespermann,Ralf Wolter,Georg Hartmann,Ricky Renée,Estrongo Nachama
Cabaret;1972;123 min.;Bob Fosse;Drama;Kim Newman; Empire ;positiva;Liza Minnelli,Michael York,Helmut Griem,Joel Grey,Fritz Wepper,Helen Vita,Marisa Berenson,Elisabeth Neumann-Viertel,Sigrid von Richthofen,Gerd Vespermann,Ralf Wolter,Georg Hartmann,Ricky Renée,Estrongo Nachama
Cabeza borradora ;1977;90 min.;David Lynch;Fantástico;Francisco Marinero; Diario El Mundo ;positiva;Jack Nance,Charlotte Stewart,Allen Joseph,Jeanne Bates,Judith Anna Roberts,Darwin Joston,T. Max Graham
Cabeza borradora ;1977;90 min.;David Lynch;Fantástico;FILMAFFINITY ;unknow;unknow;Jack Nance,Charlotte Stewart,Allen Joseph,Jeanne Bates,Judith Anna Roberts,Darwin Joston,T. Max Graham
Cabeza de muerte (Fungus Mortalitas);2007;80 min.;Paddy Breathnach;Terror;José Manuel Cuéllar; Diario ABC ;negativa;Lindsey Haun,Jack Huston,Max Kasch,Maya Hazen,Alice Greczyn,Don Wycherley,Sean McGinley,Robert Hoffman,Jack Gleeson
Cabeza de perro;2006;91 min.;Santi Amodeo;Drama;Javier Ocaña; Diario El País ;positiva;Juan José Ballesta,Adriana Ugarte,Manuel Alexandre,Julián Villagrán,Ana Wagener,Jimmy Roca,Álex O'Dogherty
Cabeza de perro;2006;91 min.;Santi Amodeo;Drama;Alberto Bermejo; Diario El Mundo ;neutral;Juan José Ballesta,Adriana Ugarte,Manuel Alexandre,Julián Villagrán,Ana Wagener,Jimmy Roca,Álex O'Dogherty
Cabeza de perro;2006;91 min.;Santi Amodeo;Drama;Miguel Ángel Palomo; Diario El País ;positiva;Juan José Ballesta,Adriana Ugarte,Manuel Alexandre,Julián Villagrán,Ana Wagener,Jimmy Roca,Álex O'Dogherty
Cabeza de pescado ;2009;82 min.;July Massaccesi;Fantástico;Adolfo C. Martínez; Diario La Nación ;neutral;Ingrid Pelicori,Martín Pavlovsky,Carlos Kaspar,Ricardo Bartis,Diana Wells,Laura Nevole,Gastón Pauls,Esther Goris
Cabeza de pescado ;2009;82 min.;July Massaccesi;Fantástico;Miguel Frías; Diario Clarín ;neutral;Ingrid Pelicori,Martín Pavlovsky,Carlos Kaspar,Ricardo Bartis,Diana Wells,Laura Nevole,Gastón Pauls,Esther Goris
Cabeza de ratón ;2013;78 min.;Ivo Aichenbaum;Documental;Diego Batlle; Diario La Nación ;positiva;Documentary,Pablo Chori,Ivo Aichenbaum,Psycho Clown
Cabin Fever;2002;94 min.;Eli Roth;Terror;M. Torreiro; Diario El País ;positiva;Rider Strong,Jordan Ladd,Joey Kern,Cerina Vincent,James DeBello,Eli Roth,Arie Verveen,Giuseppe Andrews,Christy Ward,Michael Harding,Julie Childress,Tim Parati,Robert Harris,Richard Fullerton,Darcy Martin
Cabin Fever;2002;94 min.;Eli Roth;Terror;Stephen Holden; The New York Times ;positiva;Rider Strong,Jordan Ladd,Joey Kern,Cerina Vincent,James DeBello,Eli Roth,Arie Verveen,Giuseppe Andrews,Christy Ward,Michael Harding,Julie Childress,Tim Parati,Robert Harris,Richard Fullerton,Darcy Martin
Cabin Fever;2002;94 min.;Eli Roth;Terror;Peter Travers; Rolling Stone ;positiva;Rider Strong,Jordan Ladd,Joey Kern,Cerina Vincent,James DeBello,Eli Roth,Arie Verveen,Giuseppe Andrews,Christy Ward,Michael Harding,Julie Childress,Tim Parati,Robert Harris,Richard Fullerton,Darcy Martin
Cabin Fever;2002;94 min.;Eli Roth;Terror;Roger Ebert; Chicago Sun-Times ;negativa;Rider Strong,Jordan Ladd,Joey Kern,Cerina Vincent,James DeBello,Eli Roth,Arie Verveen,Giuseppe Andrews,Christy Ward,Michael Harding,Julie Childress,Tim Parati,Robert Harris,Richard Fullerton,Darcy Martin
Cabin Fever;2016;99 min.;Travis Zariwny;Terror;Javier Porta Fouz; Diario La Nación ;negativa;Gage Golightly,Matthew Daddario,Nadine Crocker,Dustin Ingram,Samuel Davis,Randy Schulman,Louise Linton,Jason Rouse
Cabin Fever;2016;99 min.;Travis Zariwny;Terror;Alexis Puig; Diario Infobae ;negativa;Gage Golightly,Matthew Daddario,Nadine Crocker,Dustin Ingram,Samuel Davis,Randy Schulman,Louise Linton,Jason Rouse
Cabin Fever: Patient Zero;2014;91 min.;Kaare Andrews;Terror;Frank Scheck; The Hollywood Reporter ;negativa;Sean Astin,Brando Eaton,Ben Hollingsworth,Currie Graham,Jillian Murray,Ryan Donowho,Mitch Ryan,Solly Duran,Lydia Hearst,Claudette Lali,Juan 'Papo' Bancalari,Marie Michelle Bazile,Roberto Linval,Magio Mojica,Omar Augusto Luis,Juan Burgos
Cabin Fever: Patient Zero;2014;91 min.;Kaare Andrews;Terror;Scott Foundas; Variety ;negativa;Sean Astin,Brando Eaton,Ben Hollingsworth,Currie Graham,Jillian Murray,Ryan Donowho,Mitch Ryan,Solly Duran,Lydia Hearst,Claudette Lali,Juan 'Papo' Bancalari,Marie Michelle Bazile,Roberto Linval,Magio Mojica,Omar Augusto Luis,Juan Burgos
Caboblanco (Cabo Blanco);1980;87 min.;J. Lee Thompson;Intriga;Pablo Kurt; FILMAFFINITY ;negativa;Charles Bronson,Jason Robards,Dominique Sanda,Fernando Rey,Gilbert Roland,Simon MacCorkindale,Camilla Sparv
Cabros de mierda;2017;118 min.;Gonzalo Justiniano;Drama;Antonio Martínez; Diario El Mercurio ;neutral;Nathalia Aragonese,Elías Collado,Daniel Contesse,Luis Dubó,Claudio González,Corina Posada,Rolando Valenzuela
Cabros de mierda;2017;118 min.;Gonzalo Justiniano;Drama;René Martín; Diario La Tercera ;positiva;Nathalia Aragonese,Elías Collado,Daniel Contesse,Luis Dubó,Claudio González,Corina Posada,Rolando Valenzuela
Caché (Escondido);2005;117 min.;Michael Haneke;Intriga;M. Torreiro; Diario El País ;positiva;Daniel Auteuil,Juliette Binoche,Maurice Bénichou,Annie Girardot,Lester Makedonsky,Bernard Le Coq,Walid Afkir,Daniel Duval,Aïssa Maiga
Caché (Escondido);2005;117 min.;Michael Haneke;Intriga;FILMAFFINITY ;unknow;positiva;Daniel Auteuil,Juliette Binoche,Maurice Bénichou,Annie Girardot,Lester Makedonsky,Bernard Le Coq,Walid Afkir,Daniel Duval,Aïssa Maiga
Caché (Escondido);2005;117 min.;Michael Haneke;Intriga;Jean-Luc Douin; Le Monde ;positiva;Daniel Auteuil,Juliette Binoche,Maurice Bénichou,Annie Girardot,Lester Makedonsky,Bernard Le Coq,Walid Afkir,Daniel Duval,Aïssa Maiga
Caché (Escondido);2005;117 min.;Michael Haneke;Intriga;Roger Ebert; Chicago Sun-Times ;positiva;Daniel Auteuil,Juliette Binoche,Maurice Bénichou,Annie Girardot,Lester Makedonsky,Bernard Le Coq,Walid Afkir,Daniel Duval,Aïssa Maiga
Cachimba;2004;127 min.;Silvio Caiozzi;Comedia;M. Torreiro; Diario El País ;positiva;Pablo Schwarz,Mariana Loyola,Julio Jung,Jesús Guzmán
Cachimba;2004;127 min.;Silvio Caiozzi;Comedia;Javier Cortijo; Diario ABC ;negativa;Pablo Schwarz,Mariana Loyola,Julio Jung,Jesús Guzmán
Cachito;1996;100 min.;Enrique Urbizu;Aventuras;FILMAFFINITY ;unknow;unknow;Jorge Perugorría,Amara Carmona,Sancho Gracia,Elvira Mínguez,Aitor Mazo,Sara Mora,Pilar Bardem,Luis Cuenca,Lola Lemos
Cachito;1996;100 min.;Enrique Urbizu;Aventuras;María Casanova; Cinemanía ;positiva;Jorge Perugorría,Amara Carmona,Sancho Gracia,Elvira Mínguez,Aitor Mazo,Sara Mora,Pilar Bardem,Luis Cuenca,Lola Lemos
Cachito;1996;100 min.;Enrique Urbizu;Aventuras;FILMAFFINITY ;unknow;neutral;Jorge Perugorría,Amara Carmona,Sancho Gracia,Elvira Mínguez,Aitor Mazo,Sara Mora,Pilar Bardem,Luis Cuenca,Lola Lemos
Cachorro;2004;99 min.;Miguel Albaladejo;Comedia;Carlos Boyero; Diario El Mundo ;positiva;José Luis García Pérez,David Castillo,Arno Chevrier,Elvira Lindo,Mario Arias,Diana Cerezo,Josele Román,Empar Ferrer,Félix Álvarez
Cachorro;2004;99 min.;Miguel Albaladejo;Comedia;Javier Ocaña; Diario El País ;negativa;José Luis García Pérez,David Castillo,Arno Chevrier,Elvira Lindo,Mario Arias,Diana Cerezo,Josele Román,Empar Ferrer,Félix Álvarez
Cada 30 horas;2016;73 min.;Alejandra Perdomo;Documental;Natalia Trzenko; Diario La Nación ;neutral;Documentary,Beatríz Regal,Jorge Taddei,Marcela Morera,Jimena Aduriz,Karina Abregú,Alicia Chamorro
Cada día;2018;95 min.;Michael Sucsy;Romance;Glenn Kenny; The New York Times ;neutral;Angourie Rice,Justice Smith,Maria Bello,Debby Ryan,Colin Ford,Lucas Jade Zumann,Owen Teague,Jacob Batalon,Ian Alexander,Katie Douglas,Amanda Arcuri,Jake Sim,Charles Vandervaart,Michael Cram,Rohan Mead,Taveeta Szymanowicz,Karena Evans,Nicole Law,Jake Robards,Tara Nicodemo,Sean Jones,Danielle Bourgon,Robinne Fanfair,Michael Sercerchi
Cada día;2018;95 min.;Michael Sucsy;Romance;Michael Rechtshaffen; The Hollywood Reporter ;negativa;Angourie Rice,Justice Smith,Maria Bello,Debby Ryan,Colin Ford,Lucas Jade Zumann,Owen Teague,Jacob Batalon,Ian Alexander,Katie Douglas,Amanda Arcuri,Jake Sim,Charles Vandervaart,Michael Cram,Rohan Mead,Taveeta Szymanowicz,Karena Evans,Nicole Law,Jake Robards,Tara Nicodemo,Sean Jones,Danielle Bourgon,Robinne Fanfair,Michael Sercerchi
Cada día;2018;95 min.;Michael Sucsy;Romance;Owen Gleiberman; Variety ;neutral;Angourie Rice,Justice Smith,Maria Bello,Debby Ryan,Colin Ford,Lucas Jade Zumann,Owen Teague,Jacob Batalon,Ian Alexander,Katie Douglas,Amanda Arcuri,Jake Sim,Charles Vandervaart,Michael Cram,Rohan Mead,Taveeta Szymanowicz,Karena Evans,Nicole Law,Jake Robards,Tara Nicodemo,Sean Jones,Danielle Bourgon,Robinne Fanfair,Michael Sercerchi
Cada día;2018;95 min.;Michael Sucsy;Romance;Kate Erbland; Indiewire ;negativa;Angourie Rice,Justice Smith,Maria Bello,Debby Ryan,Colin Ford,Lucas Jade Zumann,Owen Teague,Jacob Batalon,Ian Alexander,Katie Douglas,Amanda Arcuri,Jake Sim,Charles Vandervaart,Michael Cram,Rohan Mead,Taveeta Szymanowicz,Karena Evans,Nicole Law,Jake Robards,Tara Nicodemo,Sean Jones,Danielle Bourgon,Robinne Fanfair,Michael Sercerchi
Cada día;2018;95 min.;Michael Sucsy;Romance;Jesse Hassenger; AV Club ;neutral;Angourie Rice,Justice Smith,Maria Bello,Debby Ryan,Colin Ford,Lucas Jade Zumann,Owen Teague,Jacob Batalon,Ian Alexander,Katie Douglas,Amanda Arcuri,Jake Sim,Charles Vandervaart,Michael Cram,Rohan Mead,Taveeta Szymanowicz,Karena Evans,Nicole Law,Jake Robards,Tara Nicodemo,Sean Jones,Danielle Bourgon,Robinne Fanfair,Michael Sercerchi
Cada día;2018;95 min.;Michael Sucsy;Romance;Rafer Guzmán; Newsday ;positiva;Angourie Rice,Justice Smith,Maria Bello,Debby Ryan,Colin Ford,Lucas Jade Zumann,Owen Teague,Jacob Batalon,Ian Alexander,Katie Douglas,Amanda Arcuri,Jake Sim,Charles Vandervaart,Michael Cram,Rohan Mead,Taveeta Szymanowicz,Karena Evans,Nicole Law,Jake Robards,Tara Nicodemo,Sean Jones,Danielle Bourgon,Robinne Fanfair,Michael Sercerchi
Cada día;2018;95 min.;Michael Sucsy;Romance;Kimber Myers; Los Angeles Times ;neutral;Angourie Rice,Justice Smith,Maria Bello,Debby Ryan,Colin Ford,Lucas Jade Zumann,Owen Teague,Jacob Batalon,Ian Alexander,Katie Douglas,Amanda Arcuri,Jake Sim,Charles Vandervaart,Michael Cram,Rohan Mead,Taveeta Szymanowicz,Karena Evans,Nicole Law,Jake Robards,Tara Nicodemo,Sean Jones,Danielle Bourgon,Robinne Fanfair,Michael Sercerchi
Cada día;2018;95 min.;Michael Sucsy;Romance;William Bibbiani; The Wrap ;positiva;Angourie Rice,Justice Smith,Maria Bello,Debby Ryan,Colin Ford,Lucas Jade Zumann,Owen Teague,Jacob Batalon,Ian Alexander,Katie Douglas,Amanda Arcuri,Jake Sim,Charles Vandervaart,Michael Cram,Rohan Mead,Taveeta Szymanowicz,Karena Evans,Nicole Law,Jake Robards,Tara Nicodemo,Sean Jones,Danielle Bourgon,Robinne Fanfair,Michael Sercerchi
Cada uno busca su gato;1996;95 min.;Cédric Klapisch;Comedia;Inma Garrido; Cinemanía ;positiva;Garance Clavel,Zinedine Soualem,Renée Le Calm,Olivier Py,Hélène de Fougerolles,Estelle Larrivaz,Camille Japy,Romain Duris,Marine Delterme,Marie Riva
Cada uno busca su gato;1996;95 min.;Cédric Klapisch;Comedia;Javier Ocaña; Cinemanía ;neutral;Garance Clavel,Zinedine Soualem,Renée Le Calm,Olivier Py,Hélène de Fougerolles,Estelle Larrivaz,Camille Japy,Romain Duris,Marine Delterme,Marie Riva
Cadena de favores;2000;122 min.;Mimi Leder;Drama;Roger Ebert; Chicago Sun-Times ;positiva;Kevin Spacey,Helen Hunt,Haley Joel Osment,Jay Mohr,Jim Caviezel,Jon Bon Jovi,Angie Dickinson
Cadena de favores;2000;122 min.;Mimi Leder;Drama;Dana Stevens; The New York Times ;negativa;Kevin Spacey,Helen Hunt,Haley Joel Osment,Jay Mohr,Jim Caviezel,Jon Bon Jovi,Angie Dickinson
Cadena de favores;2000;122 min.;Mimi Leder;Drama;Desson Thomson; The Washington Post ;neutral;Kevin Spacey,Helen Hunt,Haley Joel Osment,Jay Mohr,Jim Caviezel,Jon Bon Jovi,Angie Dickinson
Cadena de favores;2000;122 min.;Mimi Leder;Drama;Jonathan Foreman; New York Post ;positiva;Kevin Spacey,Helen Hunt,Haley Joel Osment,Jay Mohr,Jim Caviezel,Jon Bon Jovi,Angie Dickinson
Cadena de favores;2000;122 min.;Mimi Leder;Drama;Richard Schickel; Time ;negativa;Kevin Spacey,Helen Hunt,Haley Joel Osment,Jay Mohr,Jim Caviezel,Jon Bon Jovi,Angie Dickinson
Cadena perpetua;1994;142 min.;Frank Darabont;Drama;Pablo Kurt; FILMAFFINITY ;positiva;Tim Robbins,Morgan Freeman,Bob Gunton,James Whitmore,Gil Bellows,William Sadler,Mark Rolston,Clancy Brown,David Proval,Jeffrey DeMunn,Jude Ciccolella,Don McManus,Alfonso Freeman,Brian Libby,Mack Miles,Frank Medrano
Cadena perpetua;1994;142 min.;Frank Darabont;Drama;Miguel Ángel Palomo; Diario El País ;positiva;Tim Robbins,Morgan Freeman,Bob Gunton,James Whitmore,Gil Bellows,William Sadler,Mark Rolston,Clancy Brown,David Proval,Jeffrey DeMunn,Jude Ciccolella,Don McManus,Alfonso Freeman,Brian Libby,Mack Miles,Frank Medrano
Cadena perpetua;1994;142 min.;Frank Darabont;Drama;Roger Ebert; Chicago Sun-Times ;positiva;Tim Robbins,Morgan Freeman,Bob Gunton,James Whitmore,Gil Bellows,William Sadler,Mark Rolston,Clancy Brown,David Proval,Jeffrey DeMunn,Jude Ciccolella,Don McManus,Alfonso Freeman,Brian Libby,Mack Miles,Frank Medrano
Cadena perpetua;1994;142 min.;Frank Darabont;Drama;Time Out ;unknow;positiva;Tim Robbins,Morgan Freeman,Bob Gunton,James Whitmore,Gil Bellows,William Sadler,Mark Rolston,Clancy Brown,David Proval,Jeffrey DeMunn,Jude Ciccolella,Don McManus,Alfonso Freeman,Brian Libby,Mack Miles,Frank Medrano
Cadena perpetua;1994;142 min.;Frank Darabont;Drama;Chicago Tribune ;unknow;positiva;Tim Robbins,Morgan Freeman,Bob Gunton,James Whitmore,Gil Bellows,William Sadler,Mark Rolston,Clancy Brown,David Proval,Jeffrey DeMunn,Jude Ciccolella,Don McManus,Alfonso Freeman,Brian Libby,Mack Miles,Frank Medrano
Cadena perpetua;1994;142 min.;Frank Darabont;Drama;Variety ;unknow;positiva;Tim Robbins,Morgan Freeman,Bob Gunton,James Whitmore,Gil Bellows,William Sadler,Mark Rolston,Clancy Brown,David Proval,Jeffrey DeMunn,Jude Ciccolella,Don McManus,Alfonso Freeman,Brian Libby,Mack Miles,Frank Medrano
Cadena perpetua;1994;142 min.;Frank Darabont;Drama;Janet Maslin; The New York Times ;positiva;Tim Robbins,Morgan Freeman,Bob Gunton,James Whitmore,Gil Bellows,William Sadler,Mark Rolston,Clancy Brown,David Proval,Jeffrey DeMunn,Jude Ciccolella,Don McManus,Alfonso Freeman,Brian Libby,Mack Miles,Frank Medrano
Cadillac Man;1990;93 min.;Roger Donaldson;Comedia;Luis Martínez; Diario El País ;negativa;Robin Williams,Tim Robbins,Annabella Sciorra,Pamela Reed,Paul Guilfoyle,Fran Drescher,Lori Petty,Zack Norman,Bill Nelson,Eddie Jones,Mimi Cecchini,Tristine Skyler,Judith Hoag,Lauren Tom
Cadillac Records;2008;109 min.;Darnell Martin;Musical;José Manuel Cuéllar; Diario ABC ;neutral;Adrien Brody,Beyoncé Knowles,Jeffrey Wright,Emmanuelle Chriqui,Gabrielle Union,Norman Reedus,Columbus Short,Cedric the Entertainer,Mos Def,Jay O. Sanders,Eamonn Walker,Tammy Blanchard,Shiloh Fernandez,Eric Bogosian
Cadillac Records;2008;109 min.;Darnell Martin;Musical;Alberto Luchini; Diario El Mundo ;negativa;Adrien Brody,Beyoncé Knowles,Jeffrey Wright,Emmanuelle Chriqui,Gabrielle Union,Norman Reedus,Columbus Short,Cedric the Entertainer,Mos Def,Jay O. Sanders,Eamonn Walker,Tammy Blanchard,Shiloh Fernandez,Eric Bogosian
Cadillac Records;2008;109 min.;Darnell Martin;Musical;Roger Ebert; Chicago Sun-Times ;positiva;Adrien Brody,Beyoncé Knowles,Jeffrey Wright,Emmanuelle Chriqui,Gabrielle Union,Norman Reedus,Columbus Short,Cedric the Entertainer,Mos Def,Jay O. Sanders,Eamonn Walker,Tammy Blanchard,Shiloh Fernandez,Eric Bogosian
Cadillac Records;2008;109 min.;Darnell Martin;Musical;A. O. Scott; The New York Times ;positiva;Adrien Brody,Beyoncé Knowles,Jeffrey Wright,Emmanuelle Chriqui,Gabrielle Union,Norman Reedus,Columbus Short,Cedric the Entertainer,Mos Def,Jay O. Sanders,Eamonn Walker,Tammy Blanchard,Shiloh Fernandez,Eric Bogosian
Cadillac Tramps: Life On the Edge ;2017;83 min.;Jamie Coakley;Documental;Los Angeles Times ;unknow;positiva;Documentary,Mark McGrath,Lars Frederiksen,Chris Shiflett,Jeff Ament,Nick Hexum,Adrian Young,Sean Wheeler,Jack Grisham,Tony Scalzo,Skinhead Rob,Jonny Wickersham,Joe Keithley,Brian Coakley,Donnie Spada,Steve Soto,Dave Hansen,Jerry Raney,Mark Stern,Juan Puente,Rynda Laurel,Steve Acevedo,Matt Beld,Kurt Bingham,Mike Boehm,Lauren Boquette,Gary Buck,Beth Carmellini,Lindsey Carmichael,Jeff Donaldson,Michael 'Gabby' Gaborno,Dave Hayes,Tim Hendricks,Bob James,Linda Jemison,Rolle Love,Chris Martin,Cathy Mason,Jenni McElrath,Scott Parker,Lisa Perker-Meredith,Jamie Reidling,Warren Renfrow,Joe Sib,Kevin Statham,Shawn Stern,Frank Weipert,Tom Wilcox,Mark Woodlief
Cafard;2015;92 min.;Jan Bultheel;Animación;Jesús Palacios; Fotogramas ;positiva;Animation
Cafard;2015;92 min.;Jan Bultheel;Animación;Justin Chang; Variety ;neutral;Animation
Café ;2014;80 min.;Hatuey Viveros;Documental;Anaid Ramírez; Empire México ;positiva;Documentary,Jorge Antonio Hernández Desión,Rosario Hernández,Teresa Desión,Manuel Desión,Rosa Mendoza
Café de Flore;2011;120 min.;Jean-Marc Vallée;Drama;Jordi Costa; Diario El País ;neutral;Vanessa Paradis,Kevin Parent,Hélène Florent,Evelyne Brochu,Alice Dubois,Michel Dumont,Linda Smith
Café de Flore;2011;120 min.;Jean-Marc Vallée;Drama;Carmen L. Lobo; Diario La Razón ;neutral;Vanessa Paradis,Kevin Parent,Hélène Florent,Evelyne Brochu,Alice Dubois,Michel Dumont,Linda Smith
Café de Flore;2011;120 min.;Jean-Marc Vallée;Drama;Jordi Batlle Caminal; Diario La Vanguardia ;neutral;Vanessa Paradis,Kevin Parent,Hélène Florent,Evelyne Brochu,Alice Dubois,Michel Dumont,Linda Smith
Café de Flore;2011;120 min.;Jean-Marc Vallée;Drama;Mariló García; Cinemanía ;negativa;Vanessa Paradis,Kevin Parent,Hélène Florent,Evelyne Brochu,Alice Dubois,Michel Dumont,Linda Smith
Café de Flore;2011;120 min.;Jean-Marc Vallée;Drama;M. Torreiro; Fotogramas ;neutral;Vanessa Paradis,Kevin Parent,Hélène Florent,Evelyne Brochu,Alice Dubois,Michel Dumont,Linda Smith
Café irlandés;1993;95 min.;Stephen Frears;Comedia;Luis Martínez; Diario El País ;positiva;Tina Kellegher,Colm Meaney,Ruth McCabe,Brendan Gleeson,Peter Rowan,Colm O'Byrne
Café Society;1995;108 min.;Raymond De Felitta;Intriga;Jorge Barriuso; Cinemanía ;negativa;Peter Gallagher,Lara Flynn Boyle,Frank Whaley,John Spencer,Anna Thomson,David Patrick Kelly
Café Society;2016;96 min.;Woody Allen;Comedia;Carlos Boyero; Diario El País ;positiva;Jesse Eisenberg,Kristen Stewart,Steve Carell,Blake Lively,Parker Posey,Corey Stoll,Jeannie Berlin,Ken Stott,Anna Camp,Gregg Binkley,Paul Schneider,Sari Lennick,Stephen Kunken,Sheryl Lee
Café Society;2016;96 min.;Woody Allen;Comedia;Luis Martínez; Diario El Mundo ;neutral;Jesse Eisenberg,Kristen Stewart,Steve Carell,Blake Lively,Parker Posey,Corey Stoll,Jeannie Berlin,Ken Stott,Anna Camp,Gregg Binkley,Paul Schneider,Sari Lennick,Stephen Kunken,Sheryl Lee
Café Society;2016;96 min.;Woody Allen;Comedia;Oti Rodríguez Marchante; Diario ABC ;positiva;Jesse Eisenberg,Kristen Stewart,Steve Carell,Blake Lively,Parker Posey,Corey Stoll,Jeannie Berlin,Ken Stott,Anna Camp,Gregg Binkley,Paul Schneider,Sari Lennick,Stephen Kunken,Sheryl Lee
Café Society;2016;96 min.;Woody Allen;Comedia;Manu Yáñez; Fotogramas ;positiva;Jesse Eisenberg,Kristen Stewart,Steve Carell,Blake Lively,Parker Posey,Corey Stoll,Jeannie Berlin,Ken Stott,Anna Camp,Gregg Binkley,Paul Schneider,Sari Lennick,Stephen Kunken,Sheryl Lee
Café Society;2016;96 min.;Woody Allen;Comedia;Javier Ocaña; Diario El País ;positiva;Jesse Eisenberg,Kristen Stewart,Steve Carell,Blake Lively,Parker Posey,Corey Stoll,Jeannie Berlin,Ken Stott,Anna Camp,Gregg Binkley,Paul Schneider,Sari Lennick,Stephen Kunken,Sheryl Lee
