pelicula;date;duracio;director;genre;autor;medi;tendencia;actors
A Bag of Hammers;2011;87 min.;Brian Crano;Comedia;Joe Leydon; Variety ;positiva;Jason Ritter,Jake Sandvig,Chandler Canterbury,Rebecca Hall,Carrie Preston,Todd Louiso,Gabriel Macht,Amanda Seyfried,Carol Lyn Black,Erik Eidem,Johnny Simmons,Sally Kirkland
A Bag of Hammers;2011;87 min.;Brian Crano;Comedia;Rex Reed; The New York Observer ;negativa;Jason Ritter,Jake Sandvig,Chandler Canterbury,Rebecca Hall,Carrie Preston,Todd Louiso,Gabriel Macht,Amanda Seyfried,Carol Lyn Black,Erik Eidem,Johnny Simmons,Sally Kirkland
A Band Called Death;2012;96 min.;Mark Christopher Covino,;Documental;Robert Koehler; Variety ;positiva;Documentary,Dannis Hackney,Bobby Hackney,David Hackney,Robbie Duncan,Kathleen,Victor Twiggs,The Beatles,The Who,Earl V. Hackney Jr.,Majora Florida Hackney,Victor Veve,Alice Cooper,Henry Rollins,Elijah Wood,Kid Rock,Vernon Reid,Jello Biafra,Don Davis
A Band Called Death;2012;96 min.;Mark Christopher Covino,;Documental;Justin Lowe; The Hollywood Reporter ;positiva;Documentary,Dannis Hackney,Bobby Hackney,David Hackney,Robbie Duncan,Kathleen,Victor Twiggs,The Beatles,The Who,Earl V. Hackney Jr.,Majora Florida Hackney,Victor Veve,Alice Cooper,Henry Rollins,Elijah Wood,Kid Rock,Vernon Reid,Jello Biafra,Don Davis
A Band Called Death;2012;96 min.;Mark Christopher Covino,;Documental;Joshua Rothkopf; Time Out ;positiva;Documentary,Dannis Hackney,Bobby Hackney,David Hackney,Robbie Duncan,Kathleen,Victor Twiggs,The Beatles,The Who,Earl V. Hackney Jr.,Majora Florida Hackney,Victor Veve,Alice Cooper,Henry Rollins,Elijah Wood,Kid Rock,Vernon Reid,Jello Biafra,Don Davis
A Beautiful Planet;2016;45 min.;Toni Myers;Documental;Ken Jaworowski; The New York Times ;positiva;Documentary
A Beginner's Guide to Snuff;2016;87 min.;Mitchell Altieri;Comedia;Dennis Harvey; Variety ;neutral;Joey Kern,Luke Edwards,Bree Williamson,Brad Greenquist,Perry Laylon Ojeda,Carter MacIntyre,Caroline Adnams,Kimberley Crossman,Tasmin Einhorn,Alfonso Faustino,Sara Fletcher,Tao Jensen,Ana Lorenzana,Kara Luiz,Alexa Niemi,Candace Pittman
A Beginner's Guide to Snuff;2016;87 min.;Mitchell Altieri;Comedia;Noel Murray; Los Angeles Times ;positiva;Joey Kern,Luke Edwards,Bree Williamson,Brad Greenquist,Perry Laylon Ojeda,Carter MacIntyre,Caroline Adnams,Kimberley Crossman,Tasmin Einhorn,Alfonso Faustino,Sara Fletcher,Tao Jensen,Ana Lorenzana,Kara Luiz,Alexa Niemi,Candace Pittman
A Beginner's Guide to Snuff;2016;87 min.;Mitchell Altieri;Comedia;John DeFore; The Hollywood Reporter ;neutral;Joey Kern,Luke Edwards,Bree Williamson,Brad Greenquist,Perry Laylon Ojeda,Carter MacIntyre,Caroline Adnams,Kimberley Crossman,Tasmin Einhorn,Alfonso Faustino,Sara Fletcher,Tao Jensen,Ana Lorenzana,Kara Luiz,Alexa Niemi,Candace Pittman
A Birder's Guide to Everything;2013;86 min.;Rob Meyer;Comedia;Stephen Holden; The New York Times ;positiva;Kodi Smit-McPhee,James LeGros,Ben Kingsley,Alex Wolff,Daniela Lavender,Ethan Cohn,Stephen Kunken,Katie Chang,Lucas Near-Verbrugghe,Adam Barrie,Tobias Campbell,Joel Van Liew,Briana Marin,Ira Hawkins
